Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,The Beginning,Genesis 1:1-2:3[[@Bible:Genesis 1:1-2:3]],Genesis 1:1-2:3
,Adam and Eve,Genesis 2:4-25[[@Bible:Genesis 2:4-25]],Genesis 2:4-25
,The Fall of Man,Genesis 3:1-24[[@Bible:Genesis 3:1-24]],Genesis 3:1-24
,Cain and Abel,Genesis 4:1-26[[@Bible:Genesis 4:1-26]],Genesis 4:1-26
,From Adam to Noah,Genesis 5:1-32[[@Bible:Genesis 5:1-32]],Genesis 5:1-32
,The Flood,Genesis 6:1-8:22[[@Bible:Genesis 6:1-8:22]],Genesis 6:1-8:22
,God's Covenant With Noah,Genesis 9:1-17[[@Bible:Genesis 9:1-17]],Genesis 9:1-17
,The Sons of Noah,Genesis 9:18-29[[@Bible:Genesis 9:18-29]],Genesis 9:18-29
,The Table of Nations,Genesis 10:1-32[[@Bible:Genesis 10:1-32]],Genesis 10:1-32
,The Tower of Babel,Genesis 11:1-9[[@Bible:Genesis 11:1-9]],Genesis 11:1-9
,From Shem to Abram,Genesis 11:10-32[[@Bible:Genesis 11:10-32]],Genesis 11:10-32
,The Call of Abram,Genesis 12:1-9[[@Bible:Genesis 12:1-9]],Genesis 12:1-9
,Abram in Egypt,Genesis 12:10-20[[@Bible:Genesis 12:10-20]],Genesis 12:10-20
,Abram and Lot Separate,Genesis 13:1-18[[@Bible:Genesis 13:1-18]],Genesis 13:1-18
,Abram Rescues Lot,Genesis 14:1-24[[@Bible:Genesis 14:1-24]],Genesis 14:1-24
,God's Covenant With Abram,Genesis 15:1-21[[@Bible:Genesis 15:1-21]],Genesis 15:1-21
,Hagar and Ishmael,Genesis 16:1-16[[@Bible:Genesis 16:1-16]],Genesis 16:1-16
,The Covenant of Circumcision,Genesis 17:1-27[[@Bible:Genesis 17:1-27]],Genesis 17:1-27
,The Three Visitors,Genesis 18:1-15[[@Bible:Genesis 18:1-15]],Genesis 18:1-15
,Abraham Pleads for Sodom,Genesis 18:16-33[[@Bible:Genesis 18:16-33]],Genesis 18:16-33
,Sodom and Gomorrah Destroyed,Genesis 19:1-29[[@Bible:Genesis 19:1-29]],Genesis 19:1-29
,Lot and His Daughters,Genesis 19:30-38[[@Bible:Genesis 19:30-38]],Genesis 19:30-38
,Abraham and Abimelech,Genesis 20:1-18[[@Bible:Genesis 20:1-18]],Genesis 20:1-18
,The Birth of Isaac,Genesis 21:1-7[[@Bible:Genesis 21:1-7]],Genesis 21:1-7
,Hagar and Ishmael Sent Away,Genesis 21:8-21[[@Bible:Genesis 21:8-21]],Genesis 21:8-21
,The Treaty at Beersheba,Genesis 21:22-34[[@Bible:Genesis 21:22-34]],Genesis 21:22-34
,Abraham Tested,Genesis 22:1-19[[@Bible:Genesis 22:1-19]],Genesis 22:1-19
,Nahor's Sons,Genesis 22:20-24[[@Bible:Genesis 22:20-24]],Genesis 22:20-24
,The Death of Sarah,Genesis 23:1-20[[@Bible:Genesis 23:1-20]],Genesis 23:1-20
,Isaac and Rebekah,Genesis 24:1-67[[@Bible:Genesis 24:1-67]],Genesis 24:1-67
,The Death of Abraham,Genesis 25:1-11[[@Bible:Genesis 25:1-11]],Genesis 25:1-11
,Ishmael's Sons,Genesis 25:12-18[[@Bible:Genesis 25:12-18]],Genesis 25:12-18
,Jacob and Esau,Genesis 25:19-34[[@Bible:Genesis 25:19-34]],Genesis 25:19-34
,Isaac and Abimelech,Genesis 26:1-35[[@Bible:Genesis 26:1-35]],Genesis 26:1-35
,Jacob Gets Isaac's Blessing,Genesis 27:1-40[[@Bible:Genesis 27:1-40]],Genesis 27:1-40
,Jacob Flees to Laban,Genesis 27:41-28:9[[@Bible:Genesis 27:41-28:9]],Genesis 27:41-28:9
,Jacob's Dream at Bethel,Genesis 28:10-22[[@Bible:Genesis 28:10-22]],Genesis 28:10-22
,Jacob Arrives in Paddan Aram,Genesis 29:1-14[[@Bible:Genesis 29:1-14]],Genesis 29:1-14
,Jacob Marries Leah and Rachel,Genesis 29:15-30[[@Bible:Genesis 29:15-30]],Genesis 29:15-30
,Jacob's Children,Genesis 29:31-30:24[[@Bible:Genesis 29:31-30:24]],Genesis 29:31-30:24
,Jacob's Flocks Increase,Genesis 30:25-43[[@Bible:Genesis 30:25-43]],Genesis 30:25-43
,Jacob Flees From Laban,Genesis 31:1-21[[@Bible:Genesis 31:1-21]],Genesis 31:1-21
,Laban Pursues Jacob,Genesis 31:22-55[[@Bible:Genesis 31:22-55]],Genesis 31:22-55
,Jacob Prepares to Meet Esau,Genesis 32:1-21[[@Bible:Genesis 32:1-21]],Genesis 32:1-21
,Jacob Wrestles With God,Genesis 32:22-32[[@Bible:Genesis 32:22-32]],Genesis 32:22-32
,Jacob Meets Esau,Genesis 33:1-20[[@Bible:Genesis 33:1-20]],Genesis 33:1-20
,Dinah and the Shechemites,Genesis 34:1-31[[@Bible:Genesis 34:1-31]],Genesis 34:1-31
,Jacob Returns to Bethel,Genesis 35:1-15[[@Bible:Genesis 35:1-15]],Genesis 35:1-15
,The Deaths of Rachel and Isaac,Genesis 35:16-29[[@Bible:Genesis 35:16-29]],Genesis 35:16-29
,Esau's Descendants,Genesis 36:1-30[[@Bible:Genesis 36:1-30]],Genesis 36:1-30
,The Rulers of Edom,Genesis 36:31-43[[@Bible:Genesis 36:31-43]],Genesis 36:31-43
,Joseph's Dreams,Genesis 37:1-11[[@Bible:Genesis 37:1-11]],Genesis 37:1-11
,Joseph Sold by His Brothers,Genesis 37:12-36[[@Bible:Genesis 37:12-36]],Genesis 37:12-36
,Judah and Tamar,Genesis 38:1-30[[@Bible:Genesis 38:1-30]],Genesis 38:1-30
,Joseph and Potiphar's Wife,Genesis 39:1-23[[@Bible:Genesis 39:1-23]],Genesis 39:1-23
,The Cupbearer and the Baker,Genesis 40:1-23[[@Bible:Genesis 40:1-23]],Genesis 40:1-23
,Pharaoh's Dreams,Genesis 41:1-40[[@Bible:Genesis 41:1-40]],Genesis 41:1-40
,Joseph in Charge of Egypt,Genesis 41:41-57[[@Bible:Genesis 41:41-57]],Genesis 41:41-57
,Joseph's Brothers Go to Egypt,Genesis 42:1-38[[@Bible:Genesis 42:1-38]],Genesis 42:1-38
,The Second Journey to Egypt,Genesis 43:1-34[[@Bible:Genesis 43:1-34]],Genesis 43:1-34
,A Silver Cup in a Sack,Genesis 44:1-34[[@Bible:Genesis 44:1-34]],Genesis 44:1-34
,Joseph Makes Himself Known,Genesis 45:1-28[[@Bible:Genesis 45:1-28]],Genesis 45:1-28
