,LR,,Aux1,,Aux2,,Aux3,,Aux4,,Aux5,,Aux6,,Aux7,,Aux8,,Aux9,,Aux10,,Aux11,,Aux12,
Ip1,40,00,40,44,40,45,40,46,40,47,40,48,40,49,40,4A,40,4B,40,4C,40,4D,40,4E,40,4F
Ip2,40,01,40,50,40,51,40,52,40,53,40,54,40,55,40,56,40,57,40,58,40,59,40,5A,40,5B
Ip3,40,02,40,5C,40,5D,40,5E,40,5F,40,60,40,61,40,62,40,63,40,64,40,65,40,66,40,67
Ip4,40,03,40,68,40,69,40,6A,40,6B,40,6C,40,6D,40,6E,40,6F,40,70,40,71,40,72,40,73
Ip5,40,04,40,74,40,75,40,76,40,77,40,78,40,79,40,7A,40,7B,40,7C,40,7D,40,7E,40,7F
Ip6,40,05,41,00,41,01,41,02,41,03,41,04,41,05,41,06,41,07,41,08,41,09,41,0A,41,0B
Ip7,40,06,41,0C,41,0D,41,0E,41,0F,41,10,41,11,41,12,41,13,41,14,41,15,41,16,41,17
Ip8,40,07,41,18,41,19,41,1A,41,1B,41,1C,41,1D,41,1E,41,1F,41,20,41,21,41,22,41,23
Ip9,40,08,41,24,41,25,41,26,41,27,41,28,41,29,41,2A,41,2B,41,2C,41,2D,41,2E,41,2F
Ip10,40,09,41,30,41,31,41,32,41,33,41,34,41,35,41,36,41,37,41,38,41,39,41,3A,41,3B
Ip11,40,0A,41,3C,41,3D,41,3E,41,3F,41,40,41,41,41,42,41,43,41,44,41,45,41,46,41,47
Ip12,40,0B,41,48,41,49,41,4A,41,4B,41,4C,41,4D,41,4E,41,4F,41,50,41,51,41,52,41,53
Ip13,40,0C,41,54,41,55,41,56,41,57,41,58,41,59,41,5A,41,5B,41,5C,41,5D,41,5E,41,5F
Ip14,40,0D,41,60,41,61,41,62,41,63,41,64,41,65,41,66,41,67,41,68,41,69,41,6A,41,6B
Ip15,40,0E,41,6C,41,6D,41,6E,41,6F,41,70,41,71,41,72,41,73,41,74,41,75,41,76,41,77
Ip16,40,0F,41,78,41,79,41,7A,41,7B,41,7C,41,7D,41,7E,41,7F,42,00,42,01,42,02,42,03
Ip17,40,10,42,04,42,05,42,06,42,07,42,08,42,09,42,0A,42,0B,42,0C,42,0D,42,0E,42,0F
Ip18,40,11,42,10,42,11,42,12,42,13,42,14,42,15,42,16,42,17,42,18,42,19,42,1A,42,1B
Ip19,40,12,42,1C,42,1D,42,1E,42,1F,42,20,42,21,42,22,42,23,42,24,42,25,42,26,42,27
Ip20,40,13,42,28,42,29,42,2A,42,2B,42,2C,42,2D,42,2E,42,2F,42,30,42,31,42,32,42,33
Ip21,40,14,42,34,42,35,42,36,42,37,42,38,42,39,42,3A,42,3B,42,3C,42,3D,42,3E,42,3F
Ip22,40,15,42,40,42,41,42,42,42,43,42,44,42,45,42,46,42,47,42,48,42,49,42,4A,42,4B
Ip23,40,16,42,4C,42,4D,42,4E,42,4F,42,50,42,51,42,52,42,53,42,54,42,55,42,56,42,57
Ip24,40,17,42,58,42,59,42,5A,42,5B,42,5C,42,5D,42,5E,42,5F,42,60,42,61,42,62,42,63
Ip25,40,18,42,64,42,65,42,66,42,67,42,68,42,69,42,6A,42,6B,42,6C,42,6D,42,6E,42,6F
Ip26,40,19,42,70,42,71,42,72,42,73,42,74,42,75,42,76,42,77,42,78,42,79,42,7A,42,7B
Ip27,40,1A,42,7C,42,7D,42,7E,42,7F,43,00,43,01,43,02,43,03,43,04,43,05,43,06,43,07
Ip28,40,1B,43,08,43,09,43,0A,43,0B,43,0C,43,0D,43,0E,43,0F,43,10,43,11,43,12,43,13
Ip29,40,1C,43,14,43,15,43,16,43,17,43,18,43,19,43,1A,43,1B,43,1C,43,1D,43,1E,43,1F
Ip30,40,1D,43,20,43,21,43,22,43,23,43,24,43,25,43,26,43,27,43,28,43,29,43,2A,43,2B
Ip31,40,1E,43,2C,43,2D,43,2E,43,2F,43,30,43,31,43,32,43,33,43,34,43,35,43,36,43,37
