SRCID,MSB,LSB
Ip1,0,0
Ip2,0,1
Ip3,0,2
Ip4,0,3
Ip5,0,4
Ip6,0,5
Ip7,0,6
Ip8,0,7
Ip9,0,8
Ip10,0,9
Ip11,0,A
Ip12,0,B
Ip13,0,C
Ip14,0,D
Ip15,0,E
Ip16,0,F
Ip17,0,10
Ip18,0,11
Ip19,0,12
Ip20,0,13
Ip21,0,14
Ip22,0,15
Ip23,0,16
Ip24,0,17
Ip25,0,18
Ip26,0,19
Ip27,0,1A
Ip28,0,1B
Ip29,0,1C
Ip30,0,1D
Ip31,0,1E
Ip32,0,1F
Ip33,0,20
Ip34,0,21
Ip35,0,22
Ip36,0,23
Ip37,0,24
Ip38,0,25
Ip39,0,26
Ip40,0,27
Ip41,0,28
Ip42,0,29
Ip43,0,2A
Ip44,0,2B
Ip45,0,2C
Ip46,0,2D
Ip47,0,2E
Ip48,0,2F
Grp1,0,30
Grp2,0,31
Grp3,0,32
Grp4,0,33
Grp5,0,34
Grp6,0,35
Grp7,0,36
Grp8,0,37
Grp9,0,38
Grp10,0,39
Grp11,0,3A
Grp12,0,3B
FX1Rtn,0,3C
FX2Rtn,0,3D
FX3Rtn,0,3E
FX4Rtn,0,3F
FX5Rtn,0,40
FX6Rtn,0,41
FX7Rtn,0,42
FX8Rtn,0,43
LR,0,44
Aux1,0,45
Aux2,0,46
Aux3,0,47
Aux4,0,48
Aux5,0,49
Aux6,0,4A
Aux7,0,4B
Aux8,0,4C
Aux9,0,4D
Aux10,0,4E
Aux11,0,4F
Aux12,0,50
FX1Snd,0,51
FX2Snd,0,52
FX3Snd,0,53
FX4Snd,0,54
Mtx1,0,55
Mtx2,0,56
Mtx3,0,57
DCA1,2,0
DCA2,2,1
DCA3,2,2
DCA4,2,3
DCA5,2,4
DCA6,2,5
DCA7,2,6
DCA8,2,7
MGRP1,4,0
MGRP2,4,1
MGRP3,4,2
MGRP4,4,3
MGRP5,4,4
MGRP6,4,5
MGRP7,4,6
MGRP8,4,7
