SRC:DEST,dVal,0xMSB,0xLSB
Ip1:LR,16384,40,00
Ip1:Aux1,16452,40,44
Ip1:Aux2,16453,40,45
Ip1:Aux3,16454,40,46
Ip1:Aux4,16455,40,47
Ip1:Aux5,16456,40,48
Ip1:Aux6,16457,40,49
Ip1:Aux7,16458,40,4A
Ip1:Aux8,16459,40,4B
Ip1:Aux9,16460,40,4C
Ip1:Aux10,16461,40,4D
Ip1:Aux11,16462,40,4E
Ip1:Aux12,16463,40,4F
Ip2:LR,16385,40,01
Ip2:Aux1,16464,40,50
Ip2:Aux2,16465,40,51
Ip2:Aux3,16466,40,52
Ip2:Aux4,16467,40,53
Ip2:Aux5,16468,40,54
Ip2:Aux6,16469,40,55
Ip2:Aux7,16470,40,56
Ip2:Aux8,16471,40,57
Ip2:Aux9,16472,40,58
Ip2:Aux10,16473,40,59
Ip2:Aux11,16474,40,5A
Ip2:Aux12,16475,40,5B
Ip3:LR,16386,40,02
Ip3:Aux1,16476,40,5C
Ip3:Aux2,16477,40,5D
Ip3:Aux3,16478,40,5E
Ip3:Aux4,16479,40,5F
Ip3:Aux5,16480,40,60
Ip3:Aux6,16481,40,61
Ip3:Aux7,16482,40,62
Ip3:Aux8,16483,40,63
Ip3:Aux9,16484,40,64
Ip3:Aux10,16485,40,65
Ip3:Aux11,16486,40,66
Ip3:Aux12,16487,40,67
Ip4:LR,16387,40,03
Ip4:Aux1,16488,40,68
Ip4:Aux2,16489,40,69
Ip4:Aux3,16490,40,6A
Ip4:Aux4,16491,40,6B
Ip4:Aux5,16492,40,6C
Ip4:Aux6,16493,40,6D
Ip4:Aux7,16494,40,6E
Ip4:Aux8,16495,40,6F
Ip4:Aux9,16496,40,70
Ip4:Aux10,16497,40,71
Ip4:Aux11,16498,40,72
Ip4:Aux12,16499,40,73
Ip5:LR,16388,40,04
Ip5:Aux1,16500,40,74
Ip5:Aux2,16501,40,75
Ip5:Aux3,16502,40,76
Ip5:Aux4,16503,40,77
Ip5:Aux5,16504,40,78
Ip5:Aux6,16505,40,79
Ip5:Aux7,16506,40,7A
Ip5:Aux8,16507,40,7B
Ip5:Aux9,16508,40,7C
Ip5:Aux10,16509,40,7D
Ip5:Aux11,16510,40,7E
Ip5:Aux12,16511,40,7F
Ip6:LR,16389,40,05
Ip6:Aux1,16640,41,00
Ip6:Aux2,16641,41,01
Ip6:Aux3,16642,41,02
Ip6:Aux4,16643,41,03
Ip6:Aux5,16644,41,04
Ip6:Aux6,16645,41,05
